133,(62-34)*15+15,133,(59-34)*15+15,0,4*15+15,266,(75-67)*15+15,0,10*15+15,133,(54-34)*15+15,133,(56-34)*15+15,0,2*15+15,266,(86-67)*15+15,133,(39-34)*15+15,0,15*15+15,133,(64-34)*15+15,266,(81-67)*15+15,133,(46-34)*15+15,133,(44-34)*15+15,133,(58-34)*15+15,133,(66-34)*15+15,0,16*15+15,133,(45-34)*15+15,0,3*15+15,266,(76-67)*15+15,266,(77-67)*15+15,0,33*15+15,266,(94-67)*15+15,133,(51-34)*15+15,133,(65-34)*15+15,266,(93-67)*15+15,266,(67-67)*15+15,266,(97-67)*15+15,266,(69-67)*15+15,266,(90-67)*15+15,0,0*15+15,133,(43-34)*15+15,266,(84-67)*15+15,0,1*15+15,266,(71-67)*15+15,266,(85-67)*15+15,133,(41-34)*15+15,0,26*15+15,266,(80-67)*15+15,133,(63-34)*15+15,0,23*15+15,133,(48-34)*15+15,133,(53-34)*15+15,0,9*15+15,133,(47-34)*15+15,133,(55-34)*15+15,0,31*15+15,0,19*15+15,266,(96-67)*15+15,0,30*15+15,266,(72-67)*15+15,266,(82-67)*15+15,0,14*15+15,266,(99-67)*15+15,0,18*15+15,266,(87-67)*15+15,266,(95-67)*15+15,133,(52-34)*15+15,0,12*15+15,266,(89-67)*15+15,0,20*15+15,133,(61-34)*15+15,266,(83-67)*15+15,133,(60-34)*15+15,0,29*15+15,0,32*15+15,133,(36-34)*15+15,0,11*15+15,0,8*15+15,133,(34-34)*15+15,0,6*15+15,0,24*15+15,133,(57-34)*15+15,266,(70-67)*15+15,133,(42-34)*15+15,0,21*15+15,266,(68-67)*15+15,266,(98-67)*15+15,266,(88-67)*15+15,266,(79-67)*15+15,0,27*15+15,0,28*15+15,0,17*15+15,0,13*15+15,133,(40-34)*15+15,266,(92-67)*15+15,266,(78-67)*15+15,266,(73-67)*15+15,266,(91-67)*15+15,0,22*15+15,133,(50-34)*15+15,133,(38-34)*15+15,133,(49-34)*15+15,266,(74-67)*15+15,133,(37-34)*15+15,0,25*15+15,133,(35-34)*15+15,0,5*15+15,0,7*15+15,1477592300
133,435,133,390,0,75,266,135,0,165,133,315,133,345,0,45,266,300,133,90,0,240,133,465,266,225,133,195,133,165,133,375,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,0,15,133,150,266,270,0,30,266,75,266,285,133,120,0,405,266,210,133,450,0,360,133,225,133,300,0,150,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,0,225,266,495,0,285,266,315,266,435,133,285,0,195,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,0,180,0,135,133,15,0,105,0,375,133,360,266,60,133,135,0,330,266,30,266,480,266,330,266,195,0,420,0,435,0,270,0,210,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,0,90,0,120,1477592318
133,435,133,390,0,75,266,135,0,165,133,315,133,345,0,45,266,300,133,90,0,240,133,465,266,225,133,195,133,165,133,375,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-8,17,133,150,266,270,0,30,266,75,266,285,133,120,0,405,266,210,133,450,0,360,133,225,133,300,0,150,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,0,225,266,495,0,285,266,315,266,435,133,285,0,195,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,0,180,0,135,133,15,0,105,0,375,133,360,266,60,133,135,0,330,266,30,266,480,266,330,266,195,0,420,0,435,0,270,0,210,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,0,90,0,120,1477592333
133,435,133,390,0,75,266,135,0,165,133,315,133,345,0,45,266,300,8,28,0,240,133,465,266,225,133,195,133,165,133,375,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-2,17,133,150,266,270,275,99,266,75,266,285,133,120,0,405,266,210,133,450,0,360,133,225,133,300,0,150,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,0,225,266,495,0,285,266,315,266,435,133,285,0,195,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,0,180,0,135,133,15,0,105,0,375,133,360,266,60,133,135,0,330,266,30,266,480,266,330,266,195,0,420,0,435,0,270,0,210,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,0,90,0,120,1477592348
133,435,133,390,0,75,266,135,0,165,133,315,133,345,0,45,266,300,1,32,0,240,133,465,266,225,133,195,133,165,133,375,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-2,17,133,150,266,270,275,99,266,75,266,285,133,120,0,405,266,210,133,450,0,360,133,225,133,300,0,150,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,0,225,266,495,0,285,266,315,266,435,133,285,0,195,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,0,180,0,135,133,15,0,105,0,375,133,360,266,60,133,135,0,330,266,30,266,480,266,330,266,195,0,420,0,435,0,270,0,210,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,0,90,0,120,1477592363
133,435,133,390,284,72,266,135,0,165,133,315,133,345,324,30,266,300,1,32,0,240,133,465,266,225,133,195,133,165,133,375,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-2,17,133,150,266,270,275,99,2,45,266,285,133,120,0,405,266,210,133,450,0,360,133,225,133,300,0,150,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,0,225,266,495,0,285,266,315,266,435,133,285,0,195,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,0,180,0,135,133,15,0,105,0,375,133,360,266,60,133,135,0,330,266,30,266,480,266,330,266,195,0,420,0,435,0,270,0,210,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,0,90,0,120,1477592378
133,435,133,390,284,72,266,135,0,165,133,315,133,345,324,30,266,300,1,32,0,240,133,465,266,225,133,195,133,165,133,375,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-2,17,133,150,266,270,275,99,2,45,266,285,133,120,0,405,266,210,133,450,0,360,133,225,133,300,0,150,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,0,225,266,495,0,285,266,315,266,435,133,285,0,195,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,0,180,0,135,133,15,134,91,0,375,133,360,266,60,133,135,0,330,13,77,266,480,266,330,266,195,0,420,0,435,0,270,0,210,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,335,76,0,120,1477592393
133,435,133,390,284,72,266,135,0,165,133,315,133,345,324,30,266,300,1,32,0,240,133,465,266,225,6,95,133,165,133,375,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-2,17,133,150,266,270,275,99,2,45,266,285,2,77,0,405,266,210,133,450,0,360,133,225,133,300,0,150,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,0,225,266,495,0,285,266,315,266,435,133,285,0,195,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,0,180,0,135,133,15,134,91,0,375,133,360,266,60,133,135,0,330,169,79,266,480,266,330,266,195,0,420,0,435,0,270,0,210,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,335,76,0,120,1477592408
133,435,133,390,284,72,266,135,0,165,10,107,133,345,324,30,266,300,1,32,0,240,133,465,266,225,6,95,133,165,133,375,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-2,17,133,150,266,270,275,99,2,45,266,285,2,77,0,405,266,210,133,450,0,360,133,225,133,300,0,150,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,0,225,266,495,0,285,266,315,266,435,133,285,0,195,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,0,180,0,135,133,15,134,91,0,375,133,360,266,60,133,135,0,330,169,79,266,480,266,330,266,195,0,420,0,435,0,270,0,210,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,335,76,0,120,1477592423
133,435,133,390,284,72,266,135,139,191,10,107,133,345,324,30,266,300,1,32,0,240,133,465,266,225,6,95,133,165,-3,150,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-2,17,133,150,266,270,275,99,2,45,266,285,2,77,0,405,266,210,133,450,0,360,133,225,133,300,157,117,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,0,225,266,495,0,285,266,315,266,435,133,285,0,195,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,294,134,0,135,133,15,134,91,0,375,133,360,266,60,133,135,0,330,169,79,266,480,266,330,266,195,0,420,0,435,0,270,0,210,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,335,76,0,120,1477592438
133,435,133,390,284,72,266,135,139,191,10,107,133,345,324,30,266,300,1,32,0,240,133,465,266,225,6,95,133,165,-3,150,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-2,17,133,150,266,270,275,99,2,45,266,285,2,77,0,405,266,210,133,450,0,360,133,225,133,300,157,117,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,0,225,266,495,0,285,266,315,266,435,133,285,1,185,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,294,134,0,135,133,15,134,91,0,375,133,360,266,60,133,135,0,330,169,79,266,480,266,330,2,166,0,420,0,435,0,270,145,200,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,335,76,0,120,1477592453
133,435,133,390,284,72,266,135,139,191,10,107,133,345,324,30,266,300,1,32,0,240,3,205,266,225,6,95,133,165,-3,150,133,495,0,255,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-2,17,133,150,266,270,275,99,2,45,266,285,2,77,0,405,266,210,133,450,0,360,133,225,133,300,157,117,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,134,123,266,495,0,285,266,315,266,435,133,285,1,185,266,345,0,315,133,420,266,255,133,405,0,450,0,495,133,45,294,134,0,135,133,15,134,91,0,375,133,360,266,60,133,135,0,330,169,79,266,480,266,330,2,166,0,420,0,435,0,270,145,200,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,335,76,0,120,1477592468
133,435,133,390,284,72,266,135,139,191,10,107,133,345,324,30,266,300,1,32,0,240,3,205,266,225,6,95,133,165,-3,150,133,495,0,222,133,180,0,60,266,150,266,165,0,510,266,420,133,270,133,480,266,405,266,15,266,465,266,45,266,360,-2,17,133,150,266,270,275,99,2,45,266,285,2,77,0,405,266,210,133,450,0,360,133,225,133,300,157,117,133,210,133,330,0,480,0,300,266,450,0,465,266,90,266,240,134,123,266,495,0,285,266,315,266,435,133,285,1,185,266,345,0,315,133,420,266,255,-1,261,0,450,0,495,133,45,294,134,0,135,133,15,134,91,0,375,133,360,266,60,133,135,0,330,169,79,266,480,266,330,2,166,0,420,0,435,134,315,145,200,133,105,266,390,266,180,266,105,266,375,0,345,133,255,133,75,133,240,266,120,133,60,0,390,133,30,335,76,0,120,1477592483
