266,(89-67)*15+15,0,12*15+15,266,(97-67)*15+15,266,(70-67)*15+15,133,(47-34)*15+15,266,(90-67)*15+15,0,28*15+15,0,5*15+15,133,(52-34)*15+15,266,(72-67)*15+15,0,3*15+15,0,2*15+15,266,(85-67)*15+15,0,33*15+15,0,22*15+15,266,(68-67)*15+15,266,(92-67)*15+15,133,(63-34)*15+15,0,13*15+15,0,24*15+15,266,(83-67)*15+15,133,(62-34)*15+15,133,(42-34)*15+15,266,(79-67)*15+15,0,1*15+15,266,(71-67)*15+15,266,(91-67)*15+15,266,(73-67)*15+15,133,(40-34)*15+15,133,(66-34)*15+15,0,11*15+15,0,4*15+15,0,23*15+15,0,31*15+15,133,(44-34)*15+15,133,(64-34)*15+15,133,(61-34)*15+15,266,(74-67)*15+15,133,(50-34)*15+15,0,20*15+15,0,8*15+15,0,0*15+15,266,(67-67)*15+15,133,(34-34)*15+15,133,(54-34)*15+15,0,6*15+15,266,(98-67)*15+15,266,(84-67)*15+15,133,(43-34)*15+15,133,(41-34)*15+15,133,(56-34)*15+15,133,(48-34)*15+15,133,(65-34)*15+15,133,(59-34)*15+15,133,(57-34)*15+15,0,21*15+15,0,15*15+15,133,(55-34)*15+15,0,16*15+15,266,(86-67)*15+15,133,(46-34)*15+15,0,27*15+15,0,32*15+15,266,(69-67)*15+15,266,(81-67)*15+15,266,(82-67)*15+15,133,(60-34)*15+15,0,17*15+15,266,(94-67)*15+15,0,26*15+15,0,7*15+15,0,29*15+15,133,(39-34)*15+15,266,(88-67)*15+15,133,(35-34)*15+15,133,(53-34)*15+15,0,19*15+15,266,(96-67)*15+15,133,(36-34)*15+15,266,(76-67)*15+15,266,(80-67)*15+15,0,10*15+15,133,(45-34)*15+15,133,(38-34)*15+15,266,(77-67)*15+15,133,(37-34)*15+15,266,(95-67)*15+15,0,9*15+15,0,18*15+15,266,(75-67)*15+15,133,(58-34)*15+15,266,(99-67)*15+15,0,25*15+15,266,(78-67)*15+15,133,(49-34)*15+15,266,(87-67)*15+15,266,(93-67)*15+15,133,(51-34)*15+15,0,14*15+15,0,30*15+15,1465047654
492,453,0,195,895,100,773,316,133,210,837,357,0,435,0,90,133,285,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,762,124,133,435,133,135,612,344,0,30,762,142,832,118,890,84,133,105,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,763,338,133,255,0,315,0,135,0,15,846,272,856,220,133,315,0,105,893,266,891,296,133,150,133,120,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,133,195,0,420,0,495,512,200,505,173,506,137,133,405,0,270,732,164,0,405,0,120,0,450,463,238,474,111,532,226,133,300,0,300,699,221,619,310,579,293,731,363,0,165,133,180,714,301,531,326,772,392,785,93,0,150,0,285,829,154,133,375,827,178,0,390,642,284,133,240,751,218,711,321,133,270,0,225,0,465,1465047833
492,453,0,195,895,100,773,316,133,210,837,357,0,435,0,90,133,285,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,762,124,133,435,563,221,612,344,0,30,762,142,832,118,890,84,548,429,133,495,0,180,0,75,0,360,0,480,133,165,133,465,133,420,763,338,133,255,0,315,0,135,0,15,846,272,856,220,133,315,0,105,893,266,891,296,133,150,571,253,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,133,195,0,420,0,495,512,200,505,173,506,137,133,405,0,270,732,164,0,405,0,120,0,450,463,238,474,111,532,226,133,300,0,300,699,221,619,310,579,293,731,363,0,165,133,180,714,301,531,326,772,392,785,93,0,150,0,285,829,154,133,375,827,178,0,390,642,284,133,240,751,218,711,321,133,270,0,225,0,465,1465047848
492,453,0,195,895,100,773,316,133,210,837,357,0,435,0,90,133,285,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,762,124,133,435,566,149,612,344,0,30,762,142,832,118,890,84,548,429,133,495,0,180,0,75,0,360,0,480,764,174,133,465,133,420,763,338,133,255,0,315,0,135,0,15,846,272,856,220,133,315,0,105,893,266,891,296,754,280,571,253,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,133,195,0,420,0,495,512,200,505,173,506,137,133,405,0,270,781,205,0,405,0,120,0,450,463,238,474,111,532,226,133,300,0,300,699,221,619,310,579,293,731,363,0,165,133,180,714,301,531,326,772,392,785,93,0,150,0,285,829,154,133,375,827,178,0,390,642,284,133,240,751,218,711,321,133,270,0,225,0,465,1465047863
492,453,0,195,895,100,773,316,133,210,837,357,0,435,0,90,133,285,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,762,124,133,435,566,149,612,344,0,30,762,142,832,118,890,84,548,429,133,495,0,180,0,75,0,360,0,480,764,174,133,465,133,420,763,338,133,255,0,315,0,135,0,15,846,272,856,220,133,315,0,105,893,266,891,296,754,280,571,253,133,345,133,225,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,860,137,0,420,0,495,512,200,505,173,506,137,133,405,0,270,781,205,0,405,0,120,0,450,463,238,474,111,532,226,133,300,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,829,154,133,375,827,178,0,390,642,284,133,240,706,139,711,321,133,270,0,225,0,465,1465047878
492,453,0,195,895,100,773,316,529,263,837,357,0,435,0,90,133,285,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,762,124,133,435,566,149,612,344,0,30,762,142,832,118,890,84,548,429,133,495,0,180,0,75,0,360,0,480,764,174,133,465,133,420,763,338,589,454,0,315,0,135,0,15,846,272,856,220,133,315,0,105,893,266,891,296,754,280,571,253,133,345,712,266,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,860,137,0,420,0,495,512,200,505,173,506,137,133,405,0,270,781,205,0,405,0,120,0,450,463,238,474,111,532,226,133,300,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,829,154,133,375,827,178,0,390,642,284,744,383,706,139,711,321,133,270,0,225,0,465,1465047893
492,453,0,195,895,100,773,316,529,263,837,357,0,435,0,90,818,138,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,762,124,133,435,566,149,612,344,0,30,762,142,832,118,890,84,548,429,133,495,0,180,0,75,0,360,0,480,764,174,133,465,133,420,763,338,589,454,0,315,0,135,0,15,846,272,856,220,133,315,0,105,893,266,891,296,754,280,571,253,133,345,712,266,133,480,133,390,133,360,0,330,0,240,133,330,0,255,648,377,860,137,0,420,0,495,512,200,505,173,506,137,133,405,0,270,781,205,0,405,0,120,0,450,463,238,474,111,532,226,195,262,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,829,154,133,375,827,178,0,390,642,284,744,383,706,139,711,321,757,329,0,225,0,465,1465047908
492,453,0,195,895,100,773,316,529,263,837,357,0,435,0,90,818,138,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,762,124,133,435,566,149,612,344,0,30,762,142,832,118,890,84,548,429,133,495,0,180,0,75,0,360,0,480,764,174,133,465,133,420,763,338,589,454,0,315,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,754,280,571,253,133,345,712,266,133,480,133,390,913,125,0,330,0,240,793,347,0,255,648,377,860,137,0,420,0,495,512,200,505,173,506,137,133,405,0,270,781,205,0,405,0,120,0,450,463,238,474,111,532,226,520,213,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,829,154,133,375,827,178,0,390,642,284,744,383,706,139,711,321,757,329,0,225,0,465,1465047923
492,453,0,195,885,129,773,316,529,263,837,357,0,435,0,90,890,105,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,934,106,133,435,566,149,612,344,0,30,762,142,832,118,890,84,548,429,133,495,0,180,0,75,0,360,0,480,764,174,133,465,133,420,763,338,589,454,0,315,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,754,280,571,253,133,345,712,266,133,480,133,390,913,125,0,330,0,240,793,347,0,255,648,377,857,166,0,420,0,495,512,200,505,173,506,137,133,405,0,270,781,205,0,405,0,120,0,450,463,238,474,111,532,226,520,213,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,133,375,827,178,0,390,642,284,744,383,706,139,711,321,757,329,0,225,0,465,1465047938
492,453,0,195,885,129,773,316,529,263,837,357,0,435,0,90,890,105,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,934,106,133,435,566,149,612,344,0,30,762,142,832,118,890,84,548,429,133,495,0,180,0,75,0,360,0,480,764,174,133,465,133,420,763,338,589,454,0,315,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,754,280,571,253,616,415,712,266,133,480,728,343,913,125,0,330,0,240,793,347,0,255,648,377,857,166,0,420,0,495,512,200,505,173,506,137,477,154,0,270,781,205,0,405,0,120,0,450,463,238,474,111,532,226,520,213,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,0,390,642,284,744,383,706,139,711,321,757,329,0,225,0,465,1465047953
492,453,0,195,885,129,773,316,529,263,837,357,0,435,0,90,890,105,851,379,0,60,0,45,528,449,0,510,0,345,800,303,808,328,133,450,0,210,0,375,934,106,912,117,566,149,612,344,0,30,762,142,832,118,890,84,548,429,133,495,0,180,0,75,0,360,0,480,764,174,606,400,765,303,763,338,589,454,0,315,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,754,280,571,253,715,354,712,266,133,480,728,343,913,125,0,330,0,240,793,347,0,255,648,377,857,166,0,420,0,495,512,200,505,173,506,137,477,154,0,270,781,205,0,405,0,120,0,450,463,238,474,111,532,226,520,213,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,0,390,642,284,744,383,706,139,711,321,757,329,0,225,0,465,1465047968
492,453,0,195,885,129,773,316,529,263,837,357,0,435,0,90,890,105,851,379,0,60,0,45,528,449,531,413,0,345,800,303,808,328,565,357,0,210,0,375,934,106,912,117,566,149,612,344,0,30,762,142,832,118,890,84,548,429,761,130,0,180,0,75,0,360,0,480,764,174,606,400,765,303,763,338,589,454,0,315,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,754,280,571,253,787,365,712,266,660,249,728,343,913,125,0,330,0,240,793,347,0,255,648,377,857,166,0,420,0,495,512,200,505,173,506,137,477,154,0,270,781,205,0,405,0,120,0,450,463,238,474,111,532,226,520,213,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,0,390,642,284,744,383,706,139,711,321,757,329,0,225,0,465,1465047983
492,453,0,195,885,129,773,316,529,263,837,357,0,435,0,90,890,105,851,379,0,60,0,45,528,449,531,413,0,345,800,303,808,328,565,357,0,210,0,375,934,106,912,117,566,149,612,344,0,30,762,142,832,118,890,84,548,429,761,130,0,180,0,75,0,360,816,396,764,174,606,400,765,303,763,338,589,454,0,315,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,754,280,571,253,787,365,712,266,660,249,728,343,913,125,0,330,0,240,793,347,0,255,648,377,857,166,0,420,429,189,512,200,505,173,506,137,477,154,0,270,781,205,0,405,0,120,0,450,463,238,474,111,532,226,520,213,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,0,390,642,284,744,383,706,139,711,321,757,329,0,225,519,385,1465047998
492,453,0,195,885,129,773,316,529,263,837,357,0,435,0,90,890,105,851,379,0,60,0,45,528,449,531,413,0,345,800,303,808,328,565,357,0,210,0,375,934,106,912,117,566,149,612,344,0,30,762,142,832,118,890,84,548,429,761,130,0,180,0,75,0,360,816,396,764,174,606,400,765,303,763,338,589,454,0,315,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,756,292,571,253,787,365,712,266,660,249,728,343,913,125,0,330,0,240,793,347,0,255,648,377,857,166,705,289,429,189,512,200,505,173,506,137,477,154,0,270,781,205,0,405,0,120,466,256,463,238,474,111,532,226,520,213,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,0,390,642,284,744,383,706,139,711,321,757,329,0,225,786,411,1465048013
492,453,0,195,885,129,773,316,529,263,837,357,727,225,0,90,890,105,851,379,0,60,0,45,528,449,531,413,0,345,800,303,808,328,565,357,0,210,588,388,934,106,912,117,566,149,612,344,0,30,762,142,832,118,890,84,548,429,761,130,0,180,0,75,0,360,816,396,764,174,606,400,765,303,763,338,589,454,0,315,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,756,292,571,253,787,365,712,266,660,249,728,343,913,125,0,330,0,240,793,347,0,255,648,377,857,166,747,277,429,189,512,200,505,173,506,137,477,154,0,270,781,205,443,269,0,120,466,256,463,238,474,111,532,226,520,213,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,0,390,642,284,744,383,706,139,711,321,757,329,0,225,786,411,1465048028
492,453,0,195,885,129,773,316,529,263,837,357,727,225,0,90,890,105,851,379,0,60,0,45,528,449,531,413,701,150,800,303,808,328,565,357,0,210,517,395,934,106,912,117,566,149,612,344,0,30,762,142,832,118,890,84,548,429,761,130,0,180,0,75,749,156,816,396,764,174,606,400,765,303,763,338,589,454,0,315,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,756,292,571,253,787,365,712,266,660,249,728,343,913,125,782,188,0,240,793,347,0,255,648,377,857,166,747,277,429,189,512,200,505,173,506,137,477,154,0,270,781,205,443,269,0,120,466,256,463,238,474,111,532,226,520,213,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,825,284,642,284,744,383,706,139,711,321,757,329,0,225,786,411,1465048043
492,453,0,195,885,129,773,316,529,263,837,357,727,225,0,90,890,105,851,379,0,60,0,45,528,449,531,413,701,150,800,303,808,328,565,357,0,210,517,395,934,106,912,117,566,149,612,344,0,30,762,142,832,118,890,84,548,429,761,130,0,180,0,75,749,156,816,396,764,174,606,400,765,303,763,338,589,454,725,464,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,756,292,571,253,787,365,712,266,660,249,728,343,913,125,935,134,0,240,793,347,0,255,648,377,857,166,747,277,429,189,512,200,505,173,506,137,477,154,0,270,781,205,443,269,0,120,466,256,463,238,474,111,532,226,520,213,0,300,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,825,284,642,284,744,383,706,139,711,321,757,329,0,225,786,411,1465048058
492,453,0,195,885,129,773,316,529,263,837,357,727,225,0,90,890,105,851,379,0,60,0,45,528,449,531,413,701,150,800,303,808,328,565,357,0,210,517,395,934,106,912,117,566,149,612,344,0,30,762,142,832,118,890,84,548,429,761,130,0,180,0,75,749,156,687,420,764,174,606,400,765,303,763,338,589,454,696,456,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,756,292,571,253,787,365,712,266,660,249,728,343,913,125,935,134,0,240,793,347,0,255,648,377,857,166,747,277,429,189,512,200,505,173,506,137,477,154,0,270,781,205,443,269,0,120,466,256,463,238,474,111,532,226,520,213,706,284,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,825,284,642,284,744,383,706,139,711,321,757,329,0,225,761,436,1465048073
492,453,0,195,885,129,773,316,529,263,842,378,727,225,0,90,890,105,821,401,0,60,0,45,528,449,531,413,701,150,800,303,808,328,588,371,0,210,517,395,934,106,912,117,566,149,612,344,0,30,762,142,832,118,890,84,548,429,761,130,0,180,0,75,749,156,797,418,764,174,644,415,765,303,763,338,589,454,696,456,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,756,292,571,253,649,387,712,266,660,249,728,343,913,125,935,134,0,240,793,347,0,255,659,371,857,166,747,277,429,189,512,200,505,173,506,137,477,154,0,270,781,205,443,269,0,120,466,256,463,238,474,111,532,226,520,213,706,284,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,825,284,642,284,744,383,706,139,711,321,757,329,0,225,761,436,1465048088
555,452,0,195,885,129,773,316,529,263,842,378,727,225,0,90,890,105,821,401,0,60,0,45,633,427,558,413,701,150,800,303,808,328,588,371,0,210,562,399,934,106,912,117,566,149,612,344,0,30,762,142,832,118,890,84,548,429,761,130,0,180,0,75,749,156,797,418,764,174,644,415,765,303,763,338,589,454,696,456,0,135,0,15,846,272,856,220,855,260,0,105,893,266,891,296,756,292,571,253,649,387,712,266,660,249,728,343,913,125,935,134,0,240,793,347,0,255,659,371,857,166,747,277,429,189,512,200,505,173,506,137,477,154,0,270,781,205,443,269,0,120,466,256,463,238,474,111,532,226,520,213,706,284,677,212,619,310,579,293,731,363,0,165,634,327,714,301,531,326,772,392,785,93,0,150,0,285,848,143,797,253,827,178,825,284,642,284,744,383,706,139,711,321,757,329,0,225,761,436,1465048103
