266,(96-67)*15+15,133,(41-34)*15+15,133,(64-34)*15+15,266,(79-67)*15+15,266,(83-67)*15+15,133,(40-34)*15+15,0,31*15+15,266,(70-67)*15+15,266,(85-67)*15+15,0,14*15+15,133,(54-34)*15+15,0,30*15+15,266,(69-67)*15+15,133,(51-34)*15+15,133,(34-34)*15+15,266,(84-67)*15+15,266,(90-67)*15+15,0,4*15+15,0,13*15+15,266,(95-67)*15+15,0,21*15+15,266,(99-67)*15+15,266,(67-67)*15+15,0,15*15+15,266,(72-67)*15+15,133,(49-34)*15+15,0,3*15+15,0,19*15+15,266,(93-67)*15+15,266,(88-67)*15+15,133,(36-34)*15+15,0,26*15+15,133,(65-34)*15+15,133,(61-34)*15+15,266,(91-67)*15+15,266,(94-67)*15+15,0,17*15+15,266,(71-67)*15+15,133,(45-34)*15+15,0,24*15+15,266,(75-67)*15+15,133,(50-34)*15+15,266,(97-67)*15+15,266,(98-67)*15+15,266,(68-67)*15+15,0,10*15+15,266,(87-67)*15+15,0,29*15+15,133,(60-34)*15+15,0,11*15+15,133,(52-34)*15+15,133,(66-34)*15+15,0,0*15+15,266,(78-67)*15+15,266,(82-67)*15+15,133,(42-34)*15+15,133,(35-34)*15+15,0,7*15+15,0,5*15+15,133,(58-34)*15+15,133,(38-34)*15+15,0,12*15+15,0,23*15+15,0,28*15+15,133,(59-34)*15+15,266,(73-67)*15+15,133,(43-34)*15+15,266,(86-67)*15+15,133,(47-34)*15+15,266,(89-67)*15+15,133,(53-34)*15+15,133,(63-34)*15+15,0,25*15+15,133,(46-34)*15+15,266,(76-67)*15+15,0,2*15+15,0,33*15+15,133,(39-34)*15+15,133,(48-34)*15+15,266,(77-67)*15+15,0,18*15+15,0,9*15+15,266,(92-67)*15+15,0,20*15+15,0,22*15+15,0,32*15+15,133,(57-34)*15+15,133,(56-34)*15+15,133,(44-34)*15+15,266,(80-67)*15+15,133,(55-34)*15+15,0,16*15+15,0,27*15+15,133,(62-34)*15+15,266,(74-67)*15+15,0,6*15+15,0,1*15+15,133,(37-34)*15+15,0,8*15+15,266,(81-67)*15+15,1477928110
266,450,133,120,133,465,266,195,266,255,133,105,0,480,266,60,266,285,0,225,133,315,0,465,266,45,133,270,133,15,266,270,266,360,0,75,0,210,266,435,0,330,266,495,266,15,0,240,266,90,133,240,0,60,0,300,266,405,266,330,133,45,0,405,133,480,133,420,266,375,266,420,0,270,266,75,133,180,0,375,266,135,133,255,266,465,266,480,266,30,0,165,266,315,0,450,133,405,0,180,133,285,133,495,0,15,266,180,266,240,133,135,133,30,0,120,0,90,133,375,133,75,0,195,0,360,0,435,133,390,266,105,133,150,266,300,133,210,266,345,133,300,133,450,0,390,133,195,266,150,0,45,0,510,133,90,133,225,266,165,0,285,0,150,266,390,0,315,0,345,0,495,133,360,133,345,133,165,266,210,133,330,0,255,0,420,133,435,266,120,0,105,0,30,133,60,0,135,266,225,1477928148
266,450,133,120,133,465,266,195,266,255,133,105,0,480,266,60,266,285,0,225,133,315,0,465,266,45,133,270,133,15,266,270,266,360,0,75,0,210,266,435,0,330,266,495,266,15,0,240,266,90,133,240,0,60,0,300,266,405,266,330,133,45,0,405,133,480,133,420,266,375,266,420,0,270,266,75,133,180,0,375,266,135,133,255,266,465,266,480,266,30,0,165,266,315,0,450,133,405,0,180,133,285,133,495,0,15,266,180,266,240,133,135,133,30,0,120,0,90,133,375,133,75,0,195,0,360,0,435,133,390,266,105,133,150,266,300,133,210,266,345,133,300,133,450,0,390,133,195,266,150,0,45,0,510,133,90,133,225,266,165,0,285,0,150,266,390,0,315,0,345,0,495,133,360,133,345,133,165,266,210,133,330,0,255,0,420,133,435,266,120,0,105,475,72,133,60,0,135,266,225,1477928163
266,450,133,120,133,465,266,195,266,255,133,105,0,480,266,60,266,285,0,225,133,315,0,465,266,45,133,270,133,15,266,270,266,360,0,75,0,210,266,435,0,330,266,495,266,15,0,240,266,90,133,240,693,423,0,300,266,405,266,330,133,45,0,405,133,480,133,420,266,375,266,420,0,270,266,75,133,180,0,375,266,135,133,255,266,465,266,480,266,30,0,165,266,315,0,450,133,405,0,180,133,285,133,495,736,475,266,180,266,240,133,135,133,30,0,120,0,90,133,375,133,75,0,195,0,360,0,435,133,390,266,105,133,150,266,300,133,210,266,345,133,300,133,450,0,390,133,195,266,150,571,270,0,510,133,90,133,225,266,165,0,285,0,150,266,390,0,315,0,345,0,495,133,360,133,345,133,165,266,210,133,330,0,255,0,420,133,435,266,120,882,538,475,72,133,60,0,135,266,225,1477928178
266,450,825,537,133,465,266,195,266,255,133,105,0,480,266,60,266,285,0,225,133,315,0,465,266,45,133,270,133,15,266,270,266,360,663,201,0,210,266,435,0,330,266,495,266,15,0,240,266,90,133,240,672,434,0,300,266,405,266,330,133,45,0,405,133,480,133,420,266,375,266,420,0,270,266,75,133,180,0,375,266,135,133,255,266,465,266,480,266,30,0,165,266,315,0,450,133,405,0,180,133,285,133,495,736,475,266,180,266,240,133,135,133,30,0,120,844,498,133,375,133,75,0,195,0,360,0,435,133,390,266,105,133,150,266,300,133,210,266,345,133,300,133,450,0,390,133,195,266,150,571,270,0,510,133,90,133,225,266,165,0,285,0,150,266,390,0,315,0,345,0,495,133,360,133,345,133,165,266,210,133,330,0,255,0,420,133,435,266,120,882,538,475,72,133,60,0,135,266,225,1477928193
266,450,825,537,133,465,266,195,266,255,133,105,0,480,266,60,266,285,0,225,133,315,0,465,266,45,133,270,862,458,266,270,266,360,663,201,0,210,266,435,0,330,266,495,266,15,0,240,266,90,133,240,672,434,0,300,266,405,266,330,133,45,0,405,133,480,133,420,266,375,266,420,0,270,266,75,133,180,0,375,266,135,133,255,266,465,266,480,266,30,0,165,266,315,0,450,133,405,0,180,133,285,133,495,736,475,266,180,266,240,805,433,133,30,554,235,844,498,133,375,133,75,0,195,0,360,0,435,133,390,266,105,133,150,266,300,133,210,266,345,133,300,133,450,0,390,133,195,266,150,571,270,0,510,133,90,133,225,266,165,0,285,0,150,266,390,0,315,0,345,0,495,133,360,133,345,133,165,266,210,133,330,0,255,0,420,133,435,266,120,882,538,475,72,133,60,0,135,266,225,1477928208
266,450,825,537,133,465,266,195,266,255,133,105,0,480,266,60,266,285,0,225,133,315,0,465,266,45,133,270,862,458,266,270,266,360,663,201,0,210,266,435,0,330,266,495,266,15,0,240,266,90,133,240,672,434,0,300,266,405,266,330,133,45,0,405,133,480,133,420,266,375,266,420,0,270,266,75,133,180,0,375,266,135,133,255,266,465,266,480,266,30,829,429,266,315,0,450,133,405,0,180,133,285,133,495,736,475,266,180,266,240,805,433,133,30,554,235,844,498,133,375,133,75,0,195,0,360,0,435,133,390,266,105,133,150,266,300,133,210,266,345,133,300,133,450,0,390,133,195,266,150,571,270,0,510,133,90,133,225,266,165,0,285,497,208,266,390,0,315,0,345,0,495,133,360,133,345,133,165,266,210,133,330,0,255,0,420,133,435,266,120,882,538,475,72,133,60,571,495,266,225,1477928223
266,450,825,537,133,465,266,195,266,255,133,105,0,480,266,60,266,285,0,225,133,315,0,465,266,45,133,270,862,458,266,270,266,360,663,201,0,210,266,435,0,330,266,495,266,15,0,240,266,90,133,240,672,434,0,300,266,405,266,330,133,45,0,405,133,480,133,420,266,375,266,420,0,270,266,75,133,180,0,375,266,135,133,255,266,465,266,480,266,30,923,493,266,315,0,450,133,405,722,399,133,285,133,495,736,475,266,180,266,240,805,433,133,30,554,235,844,498,133,375,133,75,682,310,0,360,0,435,133,390,266,105,133,150,266,300,133,210,266,345,133,300,133,450,0,390,133,195,266,150,571,270,0,510,133,90,133,225,266,165,0,285,497,208,266,390,0,315,0,345,0,495,133,360,133,345,133,165,266,210,133,330,0,255,0,420,133,435,266,120,882,538,475,72,133,60,571,495,266,225,1477928238
266,450,825,537,133,465,266,195,266,255,133,105,0,480,266,60,266,285,587,112,133,315,0,465,266,45,133,270,862,458,266,270,266,360,663,201,576,447,266,435,0,330,266,495,266,15,666,140,266,90,133,240,672,434,0,300,266,405,266,330,133,45,0,405,133,480,133,420,266,375,266,420,0,270,266,75,133,180,0,375,266,135,133,255,266,465,266,480,266,30,923,493,266,315,0,450,133,405,722,399,133,285,133,495,736,475,266,180,266,240,805,433,133,30,554,235,844,498,133,375,133,75,682,310,0,360,0,435,133,390,266,105,133,150,266,300,133,210,266,345,133,300,133,450,0,390,133,195,266,150,571,270,0,510,133,90,133,225,266,165,0,285,497,208,266,390,0,315,0,345,0,495,133,360,133,345,133,165,266,210,133,330,0,255,0,420,133,435,266,120,882,538,475,72,133,60,571,495,266,225,1477928253
266,450,825,537,133,465,266,195,266,255,133,105,0,480,266,60,266,285,587,112,133,315,0,465,266,45,133,270,862,458,266,270,266,360,663,201,576,447,266,435,0,330,266,495,266,15,666,140,266,90,133,240,672,434,0,300,266,405,266,330,133,45,0,405,133,480,133,420,266,375,266,420,524,311,266,75,133,180,0,375,266,135,133,255,266,465,266,480,266,30,923,493,266,315,0,450,133,405,722,399,133,285,133,495,736,475,266,180,266,240,805,433,133,30,554,235,844,498,133,375,133,75,682,310,0,360,0,435,133,390,266,105,133,150,266,300,133,210,266,345,133,300,133,450,0,390,133,195,266,150,571,270,0,510,133,90,133,225,266,165,461,165,497,208,266,390,0,315,0,345,0,495,133,360,133,345,133,165,266,210,133,330,748,288,0,420,133,435,266,120,882,538,475,72,133,60,571,495,266,225,1477928268
266,450,825,537,133,465,266,195,266,255,133,105,0,480,266,60,266,285,587,112,133,315,0,465,266,45,133,270,862,458,266,270,266,360,663,201,576,447,266,435,0,330,266,495,266,15,666,140,266,90,133,240,672,434,750,446,266,405,266,330,133,45,0,405,133,480,133,420,266,375,266,420,436,260,266,75,133,180,0,375,266,135,133,255,266,465,266,480,266,30,923,493,266,315,0,450,133,405,722,399,133,285,133,495,736,475,266,180,266,240,805,433,133,30,554,235,844,498,133,375,133,75,682,310,0,360,0,435,133,390,266,105,133,150,266,300,133,210,266,345,133,300,133,450,0,390,133,195,266,150,571,270,0,510,133,90,133,225,266,165,461,165,497,208,266,390,0,315,0,345,0,495,133,360,133,345,133,165,266,210,133,330,748,288,0,420,133,435,266,120,882,538,475,72,133,60,571,495,266,225,1477928283
