133,(58-34)*15+15,0,29*15+15,266,(93-67)*15+15,0,5*15+15,0,1*15+15,0,6*15+15,266,(99-67)*15+15,133,(48-34)*15+15,133,(45-34)*15+15,133,(42-34)*15+15,133,(54-34)*15+15,266,(88-67)*15+15,133,(43-34)*15+15,133,(52-34)*15+15,0,26*15+15,266,(67-67)*15+15,133,(51-34)*15+15,266,(77-67)*15+15,133,(65-34)*15+15,266,(68-67)*15+15,266,(70-67)*15+15,0,21*15+15,0,27*15+15,0,15*15+15,266,(96-67)*15+15,133,(34-34)*15+15,266,(81-67)*15+15,0,30*15+15,0,8*15+15,133,(44-34)*15+15,266,(72-67)*15+15,0,0*15+15,266,(97-67)*15+15,266,(83-67)*15+15,0,32*15+15,133,(63-34)*15+15,266,(75-67)*15+15,266,(78-67)*15+15,133,(35-34)*15+15,133,(46-34)*15+15,266,(95-67)*15+15,0,19*15+15,0,23*15+15,133,(55-34)*15+15,133,(50-34)*15+15,133,(37-34)*15+15,266,(71-67)*15+15,0,16*15+15,133,(38-34)*15+15,133,(36-34)*15+15,266,(94-67)*15+15,0,14*15+15,133,(47-34)*15+15,0,25*15+15,266,(86-67)*15+15,133,(59-34)*15+15,0,11*15+15,266,(98-67)*15+15,266,(85-67)*15+15,0,17*15+15,0,33*15+15,133,(62-34)*15+15,0,4*15+15,133,(57-34)*15+15,266,(76-67)*15+15,266,(73-67)*15+15,266,(82-67)*15+15,0,9*15+15,0,10*15+15,0,31*15+15,266,(80-67)*15+15,133,(41-34)*15+15,266,(91-67)*15+15,133,(53-34)*15+15,133,(39-34)*15+15,266,(84-67)*15+15,0,2*15+15,0,12*15+15,133,(61-34)*15+15,133,(40-34)*15+15,133,(66-34)*15+15,0,7*15+15,266,(74-67)*15+15,133,(49-34)*15+15,0,22*15+15,266,(92-67)*15+15,266,(90-67)*15+15,266,(79-67)*15+15,266,(69-67)*15+15,266,(89-67)*15+15,0,20*15+15,133,(60-34)*15+15,0,3*15+15,0,24*15+15,0,28*15+15,266,(87-67)*15+15,133,(64-34)*15+15,0,13*15+15,0,18*15+15,133,(56-34)*15+15,1470643471
133,375,0,450,266,405,0,90,0,30,0,105,266,495,133,225,133,180,133,135,133,315,266,330,133,150,133,285,0,405,266,15,133,270,266,165,133,480,266,30,266,60,0,330,0,420,0,240,266,450,133,15,266,225,0,465,0,135,133,165,266,90,446,152,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,0,360,133,330,133,255,133,60,266,75,0,255,133,75,133,45,266,420,0,225,133,210,0,390,266,300,133,390,0,180,266,480,266,285,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,0,195,133,420,133,105,133,495,0,120,266,120,133,240,0,345,266,390,266,360,266,195,266,45,266,345,0,315,133,405,0,60,0,375,0,435,266,315,133,465,0,210,0,285,133,345,1470643512
133,375,0,450,266,405,0,90,0,30,0,105,266,495,133,225,133,180,133,135,133,315,266,330,133,150,133,285,0,405,266,15,133,270,266,165,133,480,266,30,266,60,0,330,0,420,0,240,266,450,133,15,266,225,0,465,0,135,133,165,266,90,403,20,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,0,360,133,330,133,255,133,60,266,75,0,255,133,75,133,45,266,420,0,225,133,210,0,390,266,300,133,390,0,180,266,480,266,285,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,0,195,133,420,133,105,133,495,0,120,266,120,133,240,0,345,266,390,266,360,266,195,266,45,266,345,0,315,133,405,0,60,0,375,0,435,266,315,133,465,0,210,0,285,133,345,1470643527
133,375,0,450,266,405,0,90,0,30,0,105,266,495,133,225,133,180,133,135,133,315,266,330,133,150,133,285,0,405,266,15,133,270,266,165,133,480,405,32,266,60,0,330,0,420,0,240,266,450,133,15,266,225,0,465,0,135,133,165,266,90,403,20,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,0,360,133,330,133,255,133,60,266,75,0,255,133,75,133,45,266,420,0,225,133,210,0,390,266,300,133,390,0,180,266,480,266,285,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,0,195,133,420,133,105,133,495,0,120,266,120,133,240,0,345,266,390,266,360,266,195,266,45,266,345,0,315,133,405,0,60,0,375,0,435,266,315,133,465,0,210,0,285,403,488,1470643542
133,375,0,450,266,405,0,90,0,30,0,105,266,495,133,225,133,180,133,135,133,315,266,330,133,150,133,285,0,405,266,15,133,270,266,165,133,480,405,32,266,60,0,330,0,420,0,240,266,450,133,15,266,225,0,465,0,135,133,165,266,90,403,20,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,0,360,133,330,133,255,133,60,266,75,0,255,133,75,133,45,266,420,0,225,133,210,0,390,811,378,812,368,0,180,266,480,266,285,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,0,195,133,420,133,105,133,495,0,120,266,120,133,240,0,345,266,390,266,360,266,195,266,45,266,345,0,315,133,405,0,60,0,375,0,435,266,315,133,465,0,210,0,285,409,488,1470643557
133,375,0,450,266,405,0,90,0,30,0,105,266,495,133,225,133,180,133,135,133,315,407,45,133,150,133,285,0,405,266,15,133,270,266,165,133,480,405,32,266,60,0,330,0,420,0,240,266,450,133,15,266,225,0,465,0,135,133,165,266,90,403,20,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,0,360,133,330,133,255,133,60,266,75,0,255,133,75,133,45,266,420,0,225,133,210,0,390,811,378,812,368,0,180,266,480,266,285,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,0,195,133,420,133,105,133,495,0,120,266,120,133,240,0,345,266,390,266,360,266,195,266,45,810,389,0,315,133,405,0,60,0,375,0,435,813,356,133,465,0,210,0,285,409,488,1470643572
133,375,0,450,266,405,0,90,0,30,0,105,266,495,133,225,133,180,133,135,401,56,407,45,133,150,133,285,0,405,266,15,133,270,400,66,133,480,405,32,266,60,0,330,0,420,0,240,266,450,133,15,266,225,0,465,0,135,133,165,444,11,403,20,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,0,360,133,330,133,255,133,60,266,75,0,255,133,75,133,45,266,420,0,225,133,210,0,390,811,378,812,368,0,180,266,480,266,285,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,0,195,133,420,133,105,133,495,0,120,266,120,133,240,0,345,266,390,266,360,266,195,266,45,810,389,0,315,133,405,0,60,0,375,0,435,813,356,133,465,0,210,0,285,409,488,1470643587
133,375,0,450,266,405,0,90,0,30,0,105,266,495,133,225,133,180,133,135,401,56,407,45,133,150,133,285,0,405,266,15,133,270,400,66,133,480,405,32,266,60,0,330,0,420,0,240,266,450,133,15,266,225,0,465,0,135,133,165,444,11,403,20,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,0,360,133,330,133,255,133,60,266,75,0,255,133,75,133,45,266,420,0,225,133,210,0,390,811,378,812,368,0,180,266,480,266,285,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,0,195,567,232,133,105,568,220,0,120,266,120,133,240,0,345,266,390,266,360,266,195,266,45,810,389,0,315,133,405,0,60,0,375,0,435,813,356,796,12,0,210,0,285,409,488,1470643602
133,375,0,450,719,548,0,90,0,30,0,105,266,495,133,225,133,180,133,135,401,56,407,45,133,150,133,285,0,405,266,15,133,270,400,66,133,480,405,32,266,60,0,330,0,420,0,240,266,450,133,15,266,225,0,465,0,135,133,165,444,11,403,20,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,0,360,133,330,133,255,133,60,266,75,0,255,133,75,133,45,446,42,0,225,133,210,0,390,811,378,812,368,0,180,266,480,569,210,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,0,195,567,232,133,105,568,220,0,120,266,120,133,240,0,345,568,244,266,360,266,195,266,45,810,389,0,315,133,405,0,60,0,375,0,435,813,356,796,12,0,210,0,285,409,488,1470643617
133,375,0,450,709,556,0,90,0,30,0,105,798,23,133,225,133,180,133,135,401,56,407,45,789,35,133,285,0,405,266,15,133,270,400,66,133,480,405,32,266,60,0,330,0,420,0,240,266,450,133,15,266,225,0,465,0,135,133,165,444,11,403,20,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,0,360,133,330,133,255,133,60,266,75,0,255,133,75,133,45,446,42,0,225,133,210,0,390,811,378,812,368,0,180,565,254,569,210,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,0,195,567,232,596,210,568,220,0,120,266,120,133,240,0,345,568,244,266,360,266,195,266,45,810,389,0,315,133,405,0,60,0,375,0,435,813,356,796,12,0,210,0,285,409,488,1470643632
133,375,0,450,709,556,0,90,0,30,0,105,798,23,133,225,133,180,783,45,401,56,407,45,789,35,133,285,0,405,266,15,133,270,400,66,133,480,405,32,266,60,0,330,0,420,0,240,266,450,133,15,266,225,0,465,442,51,133,165,444,11,403,20,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,0,360,133,330,133,255,133,60,266,75,0,255,133,75,133,45,446,42,0,225,133,210,0,390,811,378,812,368,0,180,565,254,569,210,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,603,228,567,232,600,245,568,220,559,200,266,120,133,240,0,345,568,244,266,360,266,195,266,45,810,389,0,315,133,405,0,60,0,375,0,435,813,356,796,12,0,210,0,285,409,488,1470643647
133,375,0,450,709,556,0,90,0,30,0,105,798,23,133,225,133,180,783,45,401,56,407,45,789,35,133,285,0,405,266,15,133,270,400,66,133,480,405,32,266,60,810,397,0,420,770,56,266,450,133,15,266,225,0,465,442,51,133,165,444,11,403,20,266,465,266,255,0,495,133,450,266,135,266,180,133,30,133,195,266,435,0,300,538,242,133,330,133,255,133,60,266,75,0,255,133,75,133,45,446,42,0,225,133,210,0,390,811,378,812,368,0,180,565,254,569,210,0,270,0,510,133,435,0,75,133,360,266,150,266,105,266,240,0,150,0,165,0,480,266,210,133,120,266,375,133,300,133,90,266,270,0,45,531,221,567,232,600,245,568,220,559,200,266,120,133,240,0,345,568,244,266,360,266,195,266,45,810,389,0,315,133,405,0,60,0,375,0,435,813,356,796,12,523,231,0,285,409,488,1470643662
